Manufacturer,Device,Current Version,Available since,Updated,Notes
Elektron,Digitakt,1.20A,29 Jun 2020,30 Dec 2020,
iConnectivity,icm4+ (2x),2.2.0,Apr 2020,Sep 2020,TODO: check 2.2.1 (20 Jan 2021)
iConnectivity,mioXL,1.3.1,20 Jan 2021,25 Feb 2021,
Soundcraft,Ui24R (2x),3.3.8293,1 Jun 2020,16 Jan 2021,
Edirol,PCR-800,1.05,,Aug 2019,
Future Artist,MIDI Looper (6x),2.3-beta4,not released,27 Oct 2019,
Roland,System-1m,1.3,1 Dec 2016,24 Nov 2019,
Roland,TB-3,1.1,"","",""
Waldorf,Blofeld,1.25,19 Feb 2018,9 Mar 2020,
Roland,JD-Xi,1.51,Apr 2017,2019,
Boss,RC-505,2.01,Jun 2016,25 Feb 2021,
Arturia,Keystep,1.1.0.28,22 Jul 2019,30 Dec 2020,
Roland,SBX-1,1.03,2014,25 Feb 2021,
Pioneer,RMX1000,2.2,27 Nov 2018,,
CME,WIDI Master (2x),1.0.4,,25 Feb 2021,
Access,Virus A,2.8,,25 Feb 2021,
Roger Linn,Linnstrument,"","","",TODO: check 2.2.2 (1 Jan 2021)
ZAQ Audio,Zaquencer (2x),1.5,Jul 2016,"",""
